标题： 大爆炸已整理 	 链接：http://tieba.baidu.com//p/6628777235 	 发帖人：1469053946RA 	 发帖时间：17:12 	 回复数量： 1 
标题： 有大龄考南航全日制研究生的吗？复试会不会歧视啊 	 链接：http://tieba.baidu.com//p/6628988949 	 发帖人：哈哈哈 	 发帖时间：19:24 	 回复数量： 1 
标题： 有今年考上南航法硕非全日制的小伙伴吗？一起做个伴~ 	 链接：http://tieba.baidu.com//p/6109656472 	 发帖人：Libra齐 	 发帖时间：2019-04 	 回复数量： 8 
标题： 本科985报考985工科专硕，成绩312分，有机会调剂南航吗 	 链接：http://tieba.baidu.com//p/6502191175 	 发帖人：贴吧用户_... 	 发帖时间：2-20 	 回复数量： 27 
标题： 马上就要开学了，南航要租房的小伙伴可以电话18260099727联系我 	 链接：http://tieba.baidu.com//p/6628642333 	 发帖人：贴吧用户_... 	 发帖时间：15:58 	 回复数量： 0 
标题： 有影视编导方向的师哥师姐嘛，研究森哦，想知道每年大概多少人报 	 链接：http://tieba.baidu.com//p/6628045592 	 发帖人：波澜不惊... 	 发帖时间：10:28 	 回复数量： 2 
标题： 打扰下学长学姐，请问哪有新世界。交互英语。案答。。。 	 链接：http://tieba.baidu.com//p/6345571900 	 发帖人：莫惜金缕... 	 发帖时间：2019-11 	 回复数量： 52 
标题： 想跨考航空航天工程研究所，本人本科学机械的。请问需要看些什么 	 链接：http://tieba.baidu.com//p/6628534093 	 发帖人：Dubrovnik612 	 发帖时间：14:59 	 回复数量： 0 
标题： 毕业急招室友，毕业党一回校就要被赶了，有没有找室友的小哥安排 	 链接：http://tieba.baidu.com//p/6628478530 	 发帖人：东申方土K... 	 发帖时间：14:30 	 回复数量： 0 
标题： 南航学位证要求绩点2.0，是每门课都要2.0以上还是平均绩点 	 链接：http://tieba.baidu.com//p/6626114825 	 发帖人：阳光下的... 	 发帖时间：4-18 	 回复数量： 4 
标题： 秘乐短视频，0投资、0风险！进来瞄一下不吃亏 	 链接：http://tieba.baidu.com//p/6628214220 	 发帖人：shakobe333 	 发帖时间：11:59 	 回复数量： 0 
标题： 请问有没有学长学姐有工程热力学的往年试卷或者复习资料，感激不 	 链接：http://tieba.baidu.com//p/6622269531 	 发帖人：2573146220lxs 	 发帖时间：4-16 	 回复数量： 8 
标题： 大四，公共选修课学分差了0.5，其他学分都修够了，如果差这0 	 链接：http://tieba.baidu.com//p/6628139935 	 发帖人：oycocp 	 发帖时间：11:18 	 回复数量： 0 
标题： 有考1院的学弟学妹吗 需要辅导517的 本人1院17级航空工 	 链接：http://tieba.baidu.com//p/6628094122 	 发帖人：飞设小菜... 	 发帖时间：10:53 	 回复数量： 0 
标题： 南航歧视三本么每年三本考上的有么，三本渣渣真得不敢想啊，头铁 	 链接：http://tieba.baidu.com//p/6116132327 	 发帖人：十英米的英 	 发帖时间：2019-04 	 回复数量： 136 
标题： 南航2020年的复试分数线大概什么时候会出啊 	 链接：http://tieba.baidu.com//p/6618402377 	 发帖人：你是真的... 	 发帖时间：4-14 	 回复数量： 2 
标题： 南航土木研友准备了吗 	 链接：http://tieba.baidu.com//p/6627945164 	 发帖人：儒雅的蜗... 	 发帖时间：09:31 	 回复数量： 8 
标题： 吧里有非全MEM同学吗？问一下2020/2019的学费多少 	 链接：http://tieba.baidu.com//p/6627714252 	 发帖人：逆诺2012 	 发帖时间：03:58 	 回复数量： 0 
标题： 非全日制研究生 	 链接：http://tieba.baidu.com//p/5044033577 	 发帖人：祭奠皇帝 	 发帖时间：2017-03 	 回复数量： 195 
标题： 请问一个各位大佬。我想报考本校研究生，但是只有结业证 	 链接：http://tieba.baidu.com//p/6624729432 	 发帖人：x593484326z 	 发帖时间：4-17 	 回复数量： 1 
标题： 21考研 工科 民航 有搭伴的嘛 我大二 	 链接：http://tieba.baidu.com//p/6627010141 	 发帖人：名字不好... 	 发帖时间：4-18 	 回复数量： 1 
标题： 有没有人知道将军路校区的那个踏浪网卡开门了没 	 链接：http://tieba.baidu.com//p/6626084123 	 发帖人：玻璃与光 	 发帖时间：4-18 	 回复数量： 1 
标题： 请问南航的金融专业是在哪个校区 	 链接：http://tieba.baidu.com//p/6613823079 	 发帖人：新鲜男人 	 发帖时间：4-12 	 回复数量： 2 
标题： 求问南航的自动化专业电力电子方面的教材名称！ 	 链接：http://tieba.baidu.com//p/6627257435 	 发帖人：JAIS8926 	 发帖时间：4-18 	 回复数量： 0 
标题： 春 	 链接：http://tieba.baidu.com//p/6620134187 	 发帖人：嘻嘻小疯女 	 发帖时间：4-15 	 回复数量： 5 
标题： 有没有参加过机电学院调剂面试的学长啊，想问问调剂面试主要是问 	 链接：http://tieba.baidu.com//p/6625299640 	 发帖人：Spring 	 发帖时间：4-17 	 回复数量： 3 
标题： 南航今年计算机研友安好？ 	 链接：http://tieba.baidu.com//p/6613851476 	 发帖人：张礼同13 	 发帖时间：4-12 	 回复数量： 10 
标题： 有谁知道那个创业租房补贴怎么搞？ 	 链接：http://tieba.baidu.com//p/6626887116 	 发帖人：海岸吹来... 	 发帖时间：4-18 	 回复数量： 0 
标题： 听朋友讲，校外人士可以到南航老校区的图书馆里借书读。具体要如 	 链接：http://tieba.baidu.com//p/6186751104 	 发帖人：孤独一叶2... 	 发帖时间：2019-07 	 回复数量： 42 
标题： 蹲一个可以辅导829计算机专业基础的研究生大佬 	 链接：http://tieba.baidu.com//p/6626600952 	 发帖人：逆光飞翔4... 	 发帖时间：4-18 	 回复数量： 0 
标题： 师兄师姐们，有认识上门取件，快递代拿的阿姨/大叔吗？ 	 链接：http://tieba.baidu.com//p/6626574403 	 发帖人：凌槐h 	 发帖时间：4-18 	 回复数量： 0 
标题： 这是一篇求助贴请问下， 538课程论教学论与教育研究方法，这 	 链接：http://tieba.baidu.com//p/6624730851 	 发帖人：neineiAs 	 发帖时间：4-17 	 回复数量： 1 
标题： 有一院的研究生学长吗？想知道研究生宿舍咋样啊，卫生间有隔间吗 	 链接：http://tieba.baidu.com//p/6618136053 	 发帖人：贴吧用户_... 	 发帖时间：4-14 	 回复数量： 1 
标题： 电气工程专业 20考研 专硕327分，本科山东大学一志愿山东 	 链接：http://tieba.baidu.com//p/6624900756 	 发帖人：绿帽子小... 	 发帖时间：4-17 	 回复数量： 4 
标题： #情感求助#想问下大家一个学霸理工男真的会忙到一星期不找你说 	 链接：http://tieba.baidu.com//p/6610179258 	 发帖人：鲸落whal 	 发帖时间：4-10 	 回复数量： 15 
标题： 救救孩子！20考研电气专硕331想调剂到贵校请问有希望吗？本 	 链接：http://tieba.baidu.com//p/6620712712 	 发帖人：幸运的sen123 	 发帖时间：4-15 	 回复数量： 4 
标题： 本人是南航电气工程的研一新生，想问下大佬们南航电气硕士在江苏 	 链接：http://tieba.baidu.com//p/5883838196 	 发帖人：冰眼夜行者 	 发帖时间：2018-09 	 回复数量： 17 
标题： 有仪科的研究生学长学姐吗？能不能打听下贵校今年仪科学硕会不会 	 链接：http://tieba.baidu.com//p/6625038027 	 发帖人：大吉大利... 	 发帖时间：4-17 	 回复数量： 1 
标题： 【调剂】请教 	 链接：http://tieba.baidu.com//p/6622656949 	 发帖人：卖凉皮小... 	 发帖时间：4-16 	 回复数量： 8 
标题： 谁知道将军路校区研一什么时候返校ovo 	 链接：http://tieba.baidu.com//p/6623658001 	 发帖人：鲶鱼 	 发帖时间：4-17 	 回复数量： 8 
标题： 各位学长学姐，这成绩有机会调剂贵校机械大类下的专业吗（非全日 	 链接：http://tieba.baidu.com//p/6624752277 	 发帖人：heaven安否 	 发帖时间：4-17 	 回复数量： 1 
标题： 研究生 航空宇航专业 毕业能去606  601不  家在沈阳 	 链接：http://tieba.baidu.com//p/6624662653 	 发帖人：飞奔的222蜗牛 	 发帖时间：4-17 	 回复数量： 1 
标题： 南航将军路校区博士宿舍 	 链接：http://tieba.baidu.com//p/6625100770 	 发帖人：薰衣草chb 	 发帖时间：4-17 	 回复数量： 0 
标题： 麻烦同学们 	 链接：http://tieba.baidu.com//p/6625057120 	 发帖人：知足常乐2... 	 发帖时间：4-17 	 回复数量： 0 
标题： 今年南航电气研究生要多少人 	 链接：http://tieba.baidu.com//p/4356086851 	 发帖人：晓XiaO 	 发帖时间：2016-02 	 回复数量： 33 
标题： 想问一下南航的无人机设计学最开是学那本书，（自学，初学） 	 链接：http://tieba.baidu.com//p/6624672910 	 发帖人：贴吧用户_... 	 发帖时间：4-17 	 回复数量： 0 
